Paper Title;Year;Author;Publication;Url of paper
Accumulated and aggregated shifting of intensity for defect detection on micro 3D textured surfaces;2020.0;Y Yan, S Kaneko, H Asano;Elsevier;https://www.sciencedirect.com/science/article/pii/S0031320319303590
Theory of frequency modulated thermal wave imaging for nondestructive subsurface defect detection;2006.0;R Mulaveesala, S Tuli;aip.scitation.org;https://aip.scitation.org/doi/abs/10.1063/1.2382738
A NMF-based image restoration scheme with applications to LED integrated substrate defect detection;2018.0;SH Chen, AH Chiou, CC Wang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8456620/
On-stream defect detection of metal artifacts from line CCD image;2009.0;K Kurokawa, M Morimoto, K Fujii;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/1931308X.2009.10644175
A Model-based Approach for in-situ Automatic Defect Detection in Welds Using Ultrasonic Phased Array;2022.0;S Yaacoubi, S Montresor, M Bentahar;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417422010284
Optimization of thermal-wave radar thermography by transverse heat flow suppression technique for accurate defect detection of CFRP laminates;2021.0;F Wang, J Liu, B Dong, G Liu, M Chen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9481151/
Defect detection in repetitive fabric patterns;2004.0;R Perez, J Silvestre, J Munoz;Citeseer;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.60.4515&rep=rep1&type=pdf
Defect detection and classification system for automatic analysis of digital radiography images of PM parts;2014.0;MG Ponomarev, C Selcuk, TH Gan, M Amos…;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1179/0032589914Z.000000000151
An enhanced memetic differential evolution in filter design for defect detection in paper production;2008.0;V Tirronen, F Neri, T Kärkkäinen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6793421/
A fabric defect detection system based on image recognition;2010.0;J Zhang, X Meng;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5473549/
Unsupervised Fabric Defect Detection Based on DCGAN with Component-Encoder;2022.0;Z Liu, C Gao, C Li, N Huang, Z Guo;Springer;https://link.springer.com/chapter/10.1007/978-3-031-02375-0_41
Research on Online Defect Detection Method of Solar Cell Component Based on Lightweight Convolutional Neural Network;2021.0;H Liu, W Ding, Q Huang, L Fang;hindawi.com;https://www.hindawi.com/journals/ijp/2021/7272928/
Digital image correlation method (DICM) application in speckle phase-shift of shear speckle defect detection;2010.0;X Xianming, H Wenxiang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5704694/
Catenary insulator defect detection based on contour features and gray similarity matching;2020.0;P Tan, X Li, J Xu, J Ma, F Wang, J Ding, Y Fang…;Springer;https://link.springer.com/article/10.1631/jzus.A1900341
Solder Joint Defect Detection Based on Image Segmentation and Deep Learning;2019.0;S Gao, H Zhang, H Mi;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9173443/
Fabric defect detection using L0 gradient minimization and fuzzy C-means;2019.0;H Zhang, J Ma, J Jing, P Li;mdpi.com;https://www.mdpi.com/521834
Row‐level algorithm to improve real‐time performance of glass tube defect detection in the production phase;2020.0;GA De Vitis, P Foglia, CA Prete;Wiley Online Library;https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2019.1506
An independent component analysis based approach for frequency modulated thermal wave imaging for subsurface defect detection in steel sample;2019.0;J Ahmad, A Akula, R Mulaveesala…;Elsevier;https://www.sciencedirect.com/science/article/pii/S1350449518308983
Statistical approach to unsupervised defect detection and multiscale localization in two-texture images;2008.0;A Gururajan, H Sari-Sarraf, EF Hequet;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/optical-engineering/volume-47/issue-2/027202/Statistical-approach-to-unsupervised-defect-detection-and-multiscale-localization-in/10.1117/1.2868783.short
Automated sewer pipe defect tracking in CCTV videos based on defect detection and metric learning;2021.0;M Wang, SS Kumar, JCP Cheng;Elsevier;https://www.sciencedirect.com/science/article/pii/S0926580520310189
Application of parallel algorithm in image processing of steel surfaces for defect detection;2015.0;M Sadeghi, H Soltani, K Zamanifar;Citeseer;https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.974.7574&rep=rep1&type=pdf
Optimum Illumination for Real-time Wiper Arm Defect Detection;2021.0;KY Cheah, SL Gan, LC Tay…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9377293/
Automatic defect detection of fasteners on the catenary support device using deep convolutional neural network;2017.0;J Chen, Z Liu, H Wang, A Núñez…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8126877/
A Semi-supervised Defect Detection Method Based on Image Inpainting;2021.0;H Cao, Y Lai, Q Chen, F Yang;Springer;https://link.springer.com/chapter/10.1007/978-3-030-89370-5_8
Defect Detection Using Deep Learning-Based YOLOv3 in Cross-Sectional Image of Additive Manufacturing;2021.0;B Choi, Y Choi, MG Lee, JS Kim, SW Lee…;journals.pan.pl;https://journals.pan.pl/dlibra/show-content?id=119294
A new MFL imaging and quantitative nondestructive evaluation method in wire rope defect detection;2022.0;S Liu, Y Sun, X Jiang, Y Kang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0888327021005367
Surface defect detection and classification based on statistical filter and decision tree;2013.0;H Akbar, N Suryana, F Akbar;eprints.utem.edu.my;http://eprints.utem.edu.my/23045/2/794-Z316.pdf
Defect detection on air bearing surface with gray level co-occurrence matrix;2014.0;P Kunakornvong, C Tangkongkiet…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6804086/
Effective Defect Detection Method Based on Bilinear Texture Features for LGPs;2021.0;L Hong, X Wu, D Zhou, F Liu;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9531362/
Deep Residual Neural Network-Based Defect Detection on Complex Backgrounds;2022.0;CC Ho, MAB Hernandez, YF Chen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9684355/
A nondestructive automated defect detection system for silicon carbide wafers;2005.0;T Kubota, P Talekar, X Ma, TS Sudarshan;Springer;https://link.springer.com/article/10.1007/s00138-004-0169-y
Defect detection with generative adversarial networks for electroluminescence images of solar cells;2020.0;C Shou, L Hong, W Ding, Q Shen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9337676/
Printed label defect detection using twice gradient matching based on improved cosine similarity measure;2022.0;D Li, J Li, Y Fan, G Lu, J Ge, X Liu;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417422007229
Convolutional neural network for sapphire ingots defect detection and classification;2021.0;EM Rwagasore, X Zhang, K Gao, Z Gao, Z Zan, X Lui…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0925346721004936
Steel surface defect detection based on adaptive threshold gray transformation;2021.0;M Zhang, W Sun, J Wang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9524114/
Defect detection of printed circuit board based on lightweight deep convolution network;2020.0;J Shen, N Liu, H Sun;Wiley Online Library;https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2020.0841
Deep Learning Strategies for Industrial Surface Defect Detection Systems;2021.0;D Martin, S Heinzel, JK von Bischhoffshausen…;arxiv.org;https://arxiv.org/abs/2109.11304
Barker coded thermal wave imaging for defect detection in carbon fibre-reinforced plastics;2011.0;VS Ghali, SSB Panda…;ingentaconnect.com;https://www.ingentaconnect.com/content/bindt/insight/2011/00000053/00000011/art00008
Enhanced faster region convolutional neural networks for steel surface defect detection;2020.0;R Wei, Y Song, Y Zhang;jstage.jst.go.jp;https://www.jstage.jst.go.jp/article/isijinternational/60/3/60_ISIJINT-2019-335/_article/-char/ja/
A novel defect detection and identification method in optical inspection;2014.0;L Xie, R Huang, N Gu, Z Cao;Springer;https://link.springer.com/article/10.1007/s00521-013-1442-7
Surface Defect Detection Model for Aero-Engine Components Based on Improved YOLOv5;2022.0;X Li, C Wang, H Ju, Z Li;mdpi.com;https://www.mdpi.com/2076-3417/12/14/7235
